id,name,address,email,phone,category,owner,description,openingHours,services,isActive,created_by,updated_by,created_at,updated_at,rejectionReason
3,Farmácia Santa Cruz,"Av. Principal, 230 - Centro, Corumbá de Goiás - GO",farmacia.santacruz@email.com,(62) 3334-3456,Farmácia,101,Estabelecimento Farmácia Santa Cruz atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",f,101,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
4,Hotel Fazenda Vale dos Pireneus,"Rodovia GO-225, Km 12 - Zona Rural, Pirenópolis - GO",reservas@valedospireneus.com.br,(62) 3331-5678,Hospedagem,62,Estabelecimento Hotel Fazenda Vale dos Pireneus atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",,62,62,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
5,Café Colonial Dom Pedro,"Rua do Rosário, 87 - Centro Histórico, Pirenópolis - GO",cafedompedro@email.com,(62) 3331-6789,Café,129,Estabelecimento Café Colonial Dom Pedro atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,211,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
6,Artesanato Cerrado Vivo,"Rua do Bonfim, 156 - Centro, Pirenópolis - GO",cerradovivo@email.com,(62) 3331-7890,Artesanato,44,Estabelecimento Artesanato Cerrado Vivo atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,44,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
7,Supermercado Bom Preço,"Av. Sizenando Jayme, 340 - Centro, Pirenópolis - GO",bompreco@email.com,(62) 3331-8901,Supermercado,206,Estabelecimento Supermercado Bom Preço atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,1,1,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
8,Pousada Rural Caxambu,"Povoado de Caxambu, s/n - Zona Rural, Pirenópolis - GO",pousadacaxambu@email.com,(62) 99876-5432,Hospedagem,66,Estabelecimento Pousada Rural Caxambu atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,1,1,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
9,Bar e Restaurante Tropeiro,Povoado de Caxambu - Pirenópolis - GO,tropeiro@email.com,(62) 99765-4321,Restaurante,2,Estabelecimento Bar e Restaurante Tropeiro atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,2,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
10,Hotel São Francisco,"Rua Goiás, 89 - Centro, São Francisco de Goiás - GO",hotelsaofrancisco@email.com,(62) 3373-1234,Hospedagem,212,Estabelecimento Hotel São Francisco atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,211,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
12,Posto de Combustível Rota 225,Rodovia GO-225 - São Francisco de Goiás - GO,rota225@email.com,(62) 3373-3456,Posto de Gasolina,213,Estabelecimento Posto de Combustível Rota 225 atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",,213,213,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
13,Pousada Serra de Jaraguá,"Av. Coronel Gomes, 567 - Centro, Jaraguá - GO",serradejaragua@email.com,(62) 3376-4567,Hospedagem,25,Estabelecimento Pousada Serra de Jaraguá atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,1,1,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
14,Churrascaria Boi na Brasa,"Rua Goiás, 234 - Centro, Jaraguá - GO",boinabrasa@email.com,(62) 3376-5678,Restaurante,168,Estabelecimento Churrascaria Boi na Brasa atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",,168,168,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
15,Mercado Central de Jaraguá,"Praça do Mercado, 1 - Centro, Jaraguá - GO",mercadocentral@email.com,(62) 3376-6789,Supermercado,142,Estabelecimento Mercado Central de Jaraguá atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",f,142,142,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
16,Pamonharia da Vovó,"Rua Principal, 78 - Centro, Itaguari - GO",pamonhariadavovo@email.com,(62) 3383-7890,Restaurante,207,Estabelecimento Pamonharia da Vovó atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,1,1,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
17,Boutique Lingerie Luxo,"Av. Goiás, 145 - Centro, Itaguari - GO",lingerieluxo@email.com,(62) 3383-8901,Loja,138,Estabelecimento Boutique Lingerie Luxo atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,211,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
18,Vinícola Goiás,"Fazenda São Benedito - São Benedito, GO",contato@vinicolagoias.com.br,(62) 99654-3210,Vinícola,155,Estabelecimento Vinícola Goiás atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",,155,155,2026-01-23 18:32:08-03,2026-01-26 01:16:22-03,
19,Pousada Casa da Ponte,"Rua da Ponte, 12 - Centro Histórico, Cidade de Goiás - GO",casadaponte@email.com,(62) 3371-9012,Hospedagem,21,Estabelecimento Pousada Casa da Ponte atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,21,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
20,Restaurante Flor de Goiás,"Praça do Coreto, 5 - Centro Histórico, Cidade de Goiás - GO",flordegoias@email.com,(62) 3371-0123,Restaurante,171,Estabelecimento Restaurante Flor de Goiás atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,171,1,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
1,Pousada Águas do Cerrado,"Rua da Matriz, 125 - Centro, Corumbá de Goiás - GO",contato@aguasdocerrado.com.br,(62) 3334-1234,Hospedagem,137,Estabelecimento Pousada Águas do Cerrado atende peregrinos e visitantes com servicos basicos e acolhimento.,Seg-Dom 08:00-18:00,"[""atendimento"", ""agua"", ""banheiro""]",t,211,211,2026-01-23 18:32:08-03,2026-01-23 18:32:08-03,
