id,name,difficulty,time,distance,description,slug,fromCheckpoint,toCheckpoint,created_by,updated_by,created_at,updated_at
1,Cidade de Corumbá ao Salto de Corumbá,medium,05:00:00,14.50,"Com um percurso de 14,5 km e dificuldade moderada, se inicia na cidade de Corumbá de Goiás, na Praça da Matriz, onde fica a Igreja Nossa Senhora da Penha, que guarda o primeiro museu a ser visitado durante o percurso. O trecho tem muita subida e finaliza no Salto de Corumbá, cachoeira de grande exuberância, além de outras cachoeiras. A estimativa de tempo para percorrer este trecho é de 5 horas para um caminhante.",cidade-de-corumba-ao-salto-de-corumba,3,4,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
2,Salto de Corumbá ao Pico dos Pireneus,medium,05:00:00,12.70,"Se inicia no Salto de Corumbá e vai até o Pico dos Pireneus, possui 12,7 km de extensão e é um trecho de muita subida, um ponto de destaque deste trecho é a caminhada pelo Parque Estadual dos Pirineus, onde os visitantes se deparam com formações rochosas em arenitos e quartzitos, datadas do período pré-cambriano, cruzam o Cerrado Rupestre até chegar ao Pico dos Pireneus, a 1.385 metros de altitude, onde há uma capela dedicada à Santíssima Trindade. O Pico dos Pireneus é o ponto mais alto da trilha inteira, onde o viajante pode desfrutar de uma visão panorâmica de todas as cidades ao redor de Pirenópolis.",salto-de-corumba-ao-pico-dos-pireneus,4,5,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
3,Pico dos Pireneus a Pirenópolis,hard,08:00:00,24.40,"Se estende do Parque Estadual da Serra dos Pireneus até a cidade histórica de Pirenópolis, cobre uma distância de 24,4 km. Este segmento destaca-se pela riqueza de paisagens e recursos hídricos, além de ser o mais bem estruturado em termos de suporte aos caminhantes. Atravessa 12 quilômetros do Parque Estadual dos Pireneus, transpondo o Divisor Continental de Águas, que separa as bacias Platina e Tocantinense, e prossegue em direção a Pirenópolis por antigas estradas e trilhas no Cerrado. Após deixar o Parque na descida da serra, os caminhantes e ciclistas encontrarão o Parque do Coqueiro e o Mirante do Ventilador. Este trecho do percurso oferece diversos atrativos, como o Córrego da Barriguda e o Refúgio Avalon, com seu jardim sensorial. O trajeto segue pela trilha das Pedreiras até Pirenópolis, margeando o Rio das Almas em seu último trecho pela trilha Brasileirinho.",pico-dos-pireneus-a-pirenopolis,5,6,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
4,Pirenópolis a Caxambu,hard,09:00:00,30.00,"Se estende de Pirenópolis ao povoado de Caxambu, com uma extensão de 30 km, é caracterizado pelo relevo mais acentuado, cruzando remanescentes de mata primária e transpondo as serras Paraíso e Caxambu, esta última com altitudes superiores a mil metros. O percurso abrange partes do antigo caminho dos escravos, que conectava a Fazenda Babilônia (datada de 1800) a Pirenópolis, na região conhecida como Retiro. No meio do trajeto, encontram-se, em proximidade, o córrego Godinho e o Rio das Pedras, frequentemente mencionados por viajantes desde o século XVIII. Ao final, é necessário reunir forças para enfrentar a Serra de Caxambu, a mais desafiadora para os caminhantes. Para acessá-la, o caminhante ou ciclista atravessa a Fazenda Caiçara, onde, em menos de um quilômetro e meio, a altitude aumenta 150 metros até o topo, seguido de uma descida de 250 metros por uma trilha cavaleira.",pirenopolis-a-caxambu,6,7,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
5,Caxambu a Radiolândia,medium,06:00:00,17.50,"Se estende do povoado de Caxambu ao povoado de Radiolândia, possui um relevo suavemente ondulado, abrangendo uma distância de 17,5 km. Este percurso destaca-se pela paisagem exuberante e atravessa áreas de pequenas propriedades, pastagens e grandes plantações. O trajeto segue por estradas vicinais e servidões, majoritariamente intercaladas por áreas de vegetação natural preservada, conhecida como Mato Grosso Goiano.",caxambu-a-radiolandia,7,8,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
6,Radiolândia a São Francisco de Goiás,hard,08:00:00,27.00,"Parte do povoado de Radiolândia indo até São Francisco de Goiás, cobrindo uma distância de 27 km. Este trecho é caracterizado por um relevo predominantemente plano e percorre estradas rurais, atravessando áreas de mata e diversas fazendas. Nos pontos mais elevados deste percurso, é possível avistar as Serras do Loredo e do Chibio. Além disso, São Francisco de Goiás é notável por sua bela igreja e pelo Museu Histórico das Cavalhadas.",radiolandia-a-sao-francisco-de-goias,8,9,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
7,São Francisco de Goiás a Jaraguá,extreme,12:00:00,38.50,"Entre São Francisco de Goiás e Jaraguá, abrange uma extensão de 38,5 km, sendo o mais longo dessa jornada. Este segmento apresenta um relevo predominantemente plano ao longo de quase todo o percurso, seguindo por uma estrada vicinal que margeia o Rio Pari por uma longa extensão. A imponente Serra de Jaraguá, com mais de mil metros de altitude, pode ser avistada de longe, sendo um excelente local para a prática de voo livre. A altitude do trajeto varia entre 626 metros e 981 metros acima do nível do mar. Neste percurso, o Caminho de Cora Coralina cruza a Ferrovia Norte-Sul, e, por uma longa extensão, a principal paisagem é a Serra de Jaraguá, onde se encontra o Sítio Arqueológico de São Januário. O relevo torna-se levemente acidentado até a chegada ao Parque Estadual da Serra de Jaraguá. O viajante atravessará o Parque Estadual da Serra de Jaraguá e, após cruzar o Rio Pari, deverá seguir até a Igreja Nossa Senhora do Rosário, onde o trecho se finaliza.",sao-francisco-de-goias-a-jaragua,9,10,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
8,Jaraguá a Vila Aparecida,medium,06:00:00,17.30,"Estende-se de Jaraguá ao povoado de Vila Aparecida, cobrindo uma distância de 17,3 km. Este segmento inicia-se na Igreja Nossa Senhora do Rosário, prosseguindo em direção ao Parque Estadual da Serra de Jaraguá até alcançar as torres, onde há um mirante que proporciona uma vista panorâmica de toda a região. Poucos metros após as torres, à direita e descendo a serra, o caminhante ou ciclista passará por uma casa abandonada, antiga sede do parque, e continuará a descida até alcançar a estrada vicinal. Seguindo à direita, atravessa-se a ponte sobre o Rio Pari e, em seguida, a Ferrovia Norte-Sul, continuando em frente até Vila Aparecida. Este trecho é caracterizado por um relevo pouco acidentado, com altitudes variando entre 606 metros e 725 metros. A região é predominantemente agrícola e pecuária, destacando-se pela presença de grandes áreas de cultivo de bananeiras.",jaragua-a-vila-aparecida,10,11,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
9,Vila Aparecida a Itaguari,easy,08:00:00,29.00,"Estende-se do povoado de Vila Aparecida até Itaguari, cobrindo uma distância de 29 km. Este segmento passa também pelos povoados de Avelândia e Palestina de Goiás, ambos pertencentes ao município de Jaraguá. Caracteriza-se por um relevo pouco acidentado, com altitudes variando entre 644 e 820 metros. A partir deste ponto, o Caminho de Cora Coralina torna-se mais tranquilo. A região é predominantemente agrícola e pecuária, com grandes áreas de cultivo de bananeiras. Itaguari destaca-se pelo número de pamonharias, devido à produção de milho, e é também uma referência na produção de lingerie.",vila-aparecida-a-itaguari,11,12,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
10,Itaguari a São Benedito,easy,08:00:00,27.00,"Estende-se de Itaguari ao povoado de São Benedito, abrangendo uma distância de 27 km e apresentando um relevo diversificado. Na saída de Itaguari, o viajante é contemplado com a vista do nascer do sol no horizonte, que gradualmente fica para trás à medida que se avança pela estrada. Este segmento possui variações de altitude entre 650 e 805 metros, percorrendo inteiramente estradas vicinais. A paisagem é dominada por lavouras e criação de gado. Em São Benedito, é possível visitar a Vinícola Goiás, que proporciona uma experiência reminiscentes da Europa ao oferecer geleias, sucos e diversos derivados da uva.",itaguari-a-sao-benedito,12,13,1,1,2026-01-23 18:12:44-03,2026-01-23 18:12:44-03
